I.D. Number	Capture Year	Sex	Weight	Total Length	Shoulder Height	Zyg. Arch	Head Width	Betw. Ears	Skull Length	Ear Length	Forearm Circ.	Neck Circ.	Chest Circ.	Hindpad Lgt.	Hindpad Wdt.	Frontpad Lgt.	Frontpad Wdt.	Chest Blaze	Condition
200249	2002	female	80	145.5	75.0	25.0	.	11.0	29.0	12.0	27.0	41.0	69.0	11.5	8.5	5.0	9.0	no	fair
200250	2002	female	80	145.5	75.0	25.0	.	11.0	29.0	12.0	27.0	41.0	69.0	11.5	8.5	5.0	9.0	no	fair
200251	2002	female	80	151.0	73.0	25.0	15.0	10.5	29.0	12.5	25.5	39.0	85.0	12.0	8.5	5.0	9.5	no	fair
200252	2002	female	80	151.0	73.0	25.0	15.0	10.5	29.0	12.5	25.5	39.0	85.0	12.0	8.5	5.0	9.5	no	fair
200253	2002	female	110	151.5	73	26	15.5	12.5	29	12.5	28	47	75	12	7.5	5.5	9	yes	good
200254	2002	male	60	133	69	22.5	13.5	11	27.5	12	24	34.5	60	12	9	5	9.5	no	poor
200255	2002	male	110	153.5	81	27	15.5	12	30.5	13	31	49	77	14	10.5	7	10.5	no	fair
200256	2002	female	75	136.5	72.0	25.0	14.0	12.0	30.0	13.0	26.0	39.0	84.0	11.5	8.0	4.5	8.0	yes	fair
200257	2002	male	75	132.0	75.0	26.5	14.0	12.0	28.0	12.5	26.5	39.0	86.0	12.5	9.5	5.5	10.5	no	fair
200258	2002	male	100	151.5	78.5	28.0	15.0	11.5	31.0	13.0	29.0	44.0	73.5	13.0	9.0	6.0	11.0	no	fair
200259	2002	male	.	144	84	27	15	12	30	13	30	48	75	14	10.5	6	10.5	yes	fair
200260	2002	male	120	146	74	30	15.5	12.5	31	12	29	46	74.5	13.5	9	5.5	9	no	good
200261	2002	female	120	157	74.5	27.5	15	15	31.5	12.5	.	49	87.5	11	7.5	5	8.5	no	good
200262	2002	male	.	186	99	34.5	19	21	34.5	13	40	75	112	15.5	10.5	7.5	13	no	excellent
200263	2002	female	150	154	79	29	15	15	31	10	28.5	52	81	12	8.5	10	5	no	good
200264	2002	male	.	164.5	102.0	28.0	.	19.0	24.5	12.0	28.0	61.0	99.0	14.5	10.5	9.5	11.5	no	excellent
200265	2002	male	160	163.0	85.5	31.0	17.5	16.0	35.0	13.5	34.0	56.0	86.5	14.0	10.0	7.5	12.0	no	good
200266	2002	male	160	162.0	82.5	28.0	16.0	11.5	32.0	10.0	35.5	54.0	88.0	15.0	11.0	6.0	12.0	no	good
200267	2002	female	38	109.5	50.0	21.5	.	9.0	23.5	11.0	18.5	29.0	51.0	9.0	5.5	4.0	7.0	no	fair
200268	2002	female	118	155.0	82.0	24.0	14.0	11.5	31.0	11.0	28.0	45.5	75.0	12.0	7.5	5.0	9.0	no	fair
