Date,Type,Name,Start,End,Duration
1/25/15,place,Place in Gainesville,2015-01-25T10:46:11-05:00,2015-01-25T12:46:43-05:00,7232
1/25/15,move,walking,2015-01-25T12:46:43-05:00,2015-01-25T12:57:33-05:00,650
1/25/15,place,Place in Gainesville,2015-01-25T12:57:33-05:00,2015-01-25T13:49:33-05:00,3120
1/25/15,move,walking,2015-01-25T13:49:33-05:00,2015-01-25T13:54:31-05:00,298
1/25/15,place,Place in Gainesville,2015-01-25T13:54:30-05:00,2015-01-25T14:04:11-05:00,581
1/25/15,move,walking,2015-01-25T14:04:11-05:00,2015-01-25T14:07:37-05:00,206
1/25/15,place,Place in Gainesville,2015-01-25T14:07:36-05:00,2015-01-25T16:14:09-05:00,7593
1/25/15,move,walking,2015-01-25T16:14:09-05:00,2015-01-25T16:37:50-05:00,1421
1/25/15,place,Place in Gainesville,2015-01-25T16:37:50-05:00,2015-01-26T00:00:00-05:00,26530
