Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/28/15,walking,walking,2015-01-28T11:31:55-05:00,2015-01-28T11:32:25-05:00,30,0.009,15,0
1/28/15,walking,walking,2015-01-28T15:47:44-05:00,2015-01-28T15:48:14-05:00,30,0.012,40,0
1/28/15,walking,walking,2015-01-28T17:47:48-05:00,2015-01-28T17:48:18-05:00,30,0.012,41,0
1/28/15,walking,walking,2015-01-28T18:44:39-05:00,2015-01-28T18:45:09-05:00,30,0.009,30,0
1/28/15,walking,walking,2015-01-28T19:30:23-05:00,2015-01-28T20:10:48-05:00,2425,1.260,2703,0
1/28/15,walking,walking,2015-01-28T19:33:30-05:00,2015-01-28T19:38:14-05:00,284,0.319,479,0
1/28/15,walking,walking,2015-01-28T19:43:09-05:00,2015-01-28T19:43:39-05:00,30,0.012,41,0
1/28/15,walking,walking,2015-01-28T21:16:16-05:00,2015-01-28T21:17:05-05:00,49,0.019,61,0
1/28/15,walking,walking,2015-01-28T22:05:52-05:00,2015-01-28T22:06:22-05:00,30,0.009,30,0
1/28/15,walking,walking,2015-01-28T22:16:11-05:00,2015-01-28T22:24:43-05:00,512,0.350,742,0
1/28/15,walking,walking,2015-01-28T22:25:21-05:00,2015-01-28T22:25:51-05:00,30,0.009,20,0
1/29/15,walking,walking,2015-01-29T07:19:42-05:00,2015-01-29T07:22:48-05:00,186,0.093,200,0
1/29/15,walking,walking,2015-01-29T12:53:05-05:00,2015-01-29T13:10:43-05:00,1058,0.502,1076,0
1/29/15,cycling,cycling,2015-01-29T12:53:33-05:00,2015-01-29T13:07:05-05:00,812,2.314,0,0
1/29/15,walking,walking,2015-01-29T13:07:46-05:00,2015-01-29T13:12:16-05:00,270,0.203,437,0
1/29/15,cycling,cycling,2015-01-29T13:58:54-05:00,2015-01-29T14:01:25-05:00,151,0.425,0,0
1/29/15,cycling,cycling,2015-01-29T14:03:49-05:00,2015-01-29T14:09:23-05:00,334,0.906,0,0
1/29/15,walking,walking,2015-01-29T14:23:54-05:00,2015-01-29T14:24:24-05:00,30,0.016,51,0
1/29/15,walking,walking,2015-01-29T15:04:34-05:00,2015-01-29T15:06:34-05:00,120,0.041,131,0
1/29/15,walking,walking,2015-01-29T16:01:02-05:00,2015-01-29T16:03:02-05:00,120,0.050,162,0
1/29/15,transport,transport,2015-01-29T16:06:07-05:00,2015-01-29T16:09:25-05:00,198,0.495,0,0
1/29/15,walking,walking,2015-01-29T16:09:26-05:00,2015-01-29T16:12:04-05:00,158,0.070,224,0
1/29/15,walking,walking,2015-01-29T17:48:51-05:00,2015-01-29T17:50:43-05:00,112,0.043,140,0
1/29/15,walking,walking,2015-01-29T18:27:50-05:00,2015-01-29T18:28:50-05:00,60,0.024,76,0
1/29/15,walking,walking,2015-01-29T19:48:59-05:00,2015-01-29T19:49:29-05:00,30,0.019,61,0
1/29/15,walking,walking,2015-01-29T20:14:11-05:00,2015-01-29T20:23:08-05:00,537,0.418,897,0
1/29/15,cycling,cycling,2015-01-29T20:20:33-05:00,2015-01-29T20:32:36-05:00,723,2.192,0,0
1/29/15,walking,walking,2015-01-29T20:33:26-05:00,2015-01-29T20:33:56-05:00,30,0.009,30,0
1/29/15,walking,walking,2015-01-29T21:29:16-05:00,2015-01-29T21:30:46-05:00,90,0.028,86,0
1/30/15,walking,walking,2015-01-30T05:44:03-05:00,2015-01-30T05:44:33-05:00,30,0.009,20,0
1/30/15,walking,walking,2015-01-30T06:20:41-05:00,2015-01-30T06:21:11-05:00,30,0.009,30,0
1/30/15,walking,walking,2015-01-30T09:13:02-05:00,2015-01-30T09:14:02-05:00,60,0.019,50,0
1/30/15,cycling,cycling,2015-01-30T09:17:15-05:00,2015-01-30T09:26:43-05:00,568,2.162,0,0
1/30/15,walking,walking,2015-01-30T09:28:08-05:00,2015-01-30T09:33:37-05:00,329,0.244,523,0
1/30/15,walking,walking,2015-01-30T11:07:25-05:00,2015-01-30T11:14:57-05:00,452,0.278,596,0
1/30/15,walking,walking,2015-01-30T12:33:50-05:00,2015-01-30T12:34:37-05:00,47,0.027,86,0
1/30/15,cycling,cycling,2015-01-30T12:37:11-05:00,2015-01-30T12:53:18-05:00,967,3.621,0,0
1/30/15,walking,walking,2015-01-30T12:54:12-05:00,2015-01-30T12:55:11-05:00,59,0.030,99,0
1/30/15,walking,walking,2015-01-30T13:34:28-05:00,2015-01-30T13:37:59-05:00,211,0.070,224,0
1/30/15,transport,transport,2015-01-30T13:37:58-05:00,2015-01-30T13:40:56-05:00,178,0.283,0,0
1/30/15,walking,walking,2015-01-30T13:45:32-05:00,2015-01-30T13:46:02-05:00,30,0.016,51,0
1/30/15,transport,transport,2015-01-30T13:48:49-05:00,2015-01-30T13:49:30-05:00,41,0.300,0,0
1/30/15,walking,walking,2015-01-30T13:49:30-05:00,2015-01-30T13:50:25-05:00,55,0.029,93,0
1/30/15,walking,walking,2015-01-30T14:33:57-05:00,2015-01-30T14:34:27-05:00,30,0.019,60,0
1/30/15,walking,walking,2015-01-30T16:56:37-05:00,2015-01-30T16:58:20-05:00,103,0.055,177,0
1/30/15,walking,walking,2015-01-30T17:06:48-05:00,2015-01-30T17:07:48-05:00,60,0.035,112,0
1/30/15,cycling,cycling,2015-01-30T17:09:36-05:00,2015-01-30T17:22:59-05:00,803,2.545,0,0
1/30/15,walking,walking,2015-01-30T17:24:48-05:00,2015-01-30T17:25:18-05:00,30,0.009,20,0
1/30/15,walking,walking,2015-01-30T21:42:28-05:00,2015-01-30T22:11:33-05:00,1745,1.179,1791,0
1/30/15,walking,walking,2015-01-30T22:31:08-05:00,2015-01-30T22:31:38-05:00,30,0.009,15,0
1/30/15,walking,walking,2015-01-30T23:18:37-05:00,2015-01-30T23:19:07-05:00,30,0.009,15,0
1/31/15,walking,walking,2015-01-31T05:22:45-05:00,2015-01-31T05:23:15-05:00,30,0.009,30,0
1/31/15,walking,walking,2015-01-31T08:47:04-05:00,2015-01-31T08:47:34-05:00,30,0.009,20,0
1/31/15,walking,walking,2015-01-31T10:34:46-05:00,2015-01-31T10:42:45-05:00,479,0.255,549,0
1/31/15,walking,walking,2015-01-31T11:48:11-05:00,2015-01-31T11:49:41-05:00,90,0.051,163,0
1/31/15,walking,walking,2015-01-31T12:20:25-05:00,2015-01-31T12:29:54-05:00,569,0.449,964,0
