Date,Type,Name,Start,End,Duration
2/4/15,place,Place in University of Florida,2015-02-04T08:22:04-05:00,2015-02-04T11:46:23-05:00,12259
2/4/15,move,cycling,2015-02-04T11:46:23-05:00,2015-02-04T11:59:03-05:00,760
2/4/15,place,Home,2015-02-04T11:59:03-05:00,2015-02-05T00:00:00-05:00,43257
2/5/15,place,Home,2015-02-05T00:00:00-05:00,2015-02-05T07:11:49-05:00,25909
2/5/15,move,running,2015-02-05T07:11:49-05:00,2015-02-05T07:16:44-05:00,295
2/5/15,place,Home,2015-02-05T07:16:44-05:00,2015-02-05T12:15:53-05:00,17949
2/5/15,move,cycling,2015-02-05T12:15:53-05:00,2015-02-05T12:26:40-05:00,647
2/5/15,place,Place in University of Florida,2015-02-05T12:26:40-05:00,2015-02-05T12:57:47-05:00,1867
2/5/15,move,transport,2015-02-05T12:57:47-05:00,2015-02-05T12:58:54-05:00,67
2/5/15,place,Place in Gainesville,2015-02-05T12:58:54-05:00,2015-02-05T13:36:39-05:00,2265
2/5/15,move,cycling,2015-02-05T13:36:39-05:00,2015-02-05T13:41:32-05:00,293
2/5/15,move,walking,2015-02-05T13:41:32-05:00,2015-02-05T13:45:56-05:00,264
2/5/15,place,Place in University of Florida,2015-02-05T13:45:57-05:00,2015-02-05T14:58:12-05:00,4335
2/5/15,move,walking,2015-02-05T14:58:12-05:00,2015-02-05T15:01:13-05:00,181
2/5/15,move,cycling,2015-02-05T15:04:14-05:00,2015-02-05T15:07:00-05:00,166
2/5/15,place,Place in Gainesville,2015-02-05T15:07:00-05:00,2015-02-05T15:53:12-05:00,2772
2/5/15,move,walking,2015-02-05T15:53:12-05:00,2015-02-05T15:55:40-05:00,148
2/5/15,move,transport,2015-02-05T15:55:40-05:00,2015-02-05T16:01:08-05:00,328
2/5/15,move,cycling,2015-02-05T16:01:08-05:00,2015-02-05T16:03:21-05:00,133
2/5/15,place,Place in University of Florida,2015-02-05T16:03:21-05:00,2015-02-05T18:01:12-05:00,7071
2/5/15,place,Place in University of Florida,2015-02-05T18:01:12-05:00,2015-02-05T20:06:26-05:00,7514
2/5/15,move,cycling,2015-02-05T20:06:26-05:00,2015-02-05T20:19:10-05:00,764
2/5/15,place,Place in Gainesville,2015-02-05T20:19:10-05:00,2015-02-05T22:05:44-05:00,6394
2/5/15,move,transport,2015-02-05T22:05:44-05:00,2015-02-05T22:08:17-05:00,153
2/5/15,place,Home,2015-02-05T22:08:17-05:00,2015-02-06T00:00:00-05:00,6703
2/6/15,place,Home,2015-02-06T00:00:00-05:00,2015-02-06T05:16:57-05:00,19017
2/6/15,move,running,2015-02-06T05:16:57-05:00,2015-02-06T05:20:22-05:00,205
2/6/15,place,Home,2015-02-06T05:20:22-05:00,2015-02-06T09:10:54-05:00,13832
2/6/15,move,walking,2015-02-06T09:10:54-05:00,2015-02-06T09:25:04-05:00,850
2/6/15,place,Place in Gainesville,2015-02-06T09:25:03-05:00,2015-02-06T11:50:35-05:00,8732
2/6/15,move,walking,2015-02-06T11:50:35-05:00,2015-02-06T12:05:04-05:00,869
2/6/15,place,Home,2015-02-06T12:05:03-05:00,2015-02-06T20:05:03-05:00,28800
2/6/15,move,walking,2015-02-06T20:05:03-05:00,2015-02-06T20:23:05-05:00,1082
2/6/15,place,Place in Gainesville,2015-02-06T20:23:05-05:00,2015-02-06T21:18:05-05:00,3300
2/6/15,move,walking,2015-02-06T21:18:05-05:00,2015-02-06T21:37:19-05:00,1154
2/6/15,place,Place in Gainesville,2015-02-06T21:37:20-05:00,2015-02-06T23:03:26-05:00,5166
2/6/15,move,walking,2015-02-06T23:03:26-05:00,2015-02-06T23:11:24-05:00,478
2/6/15,place,Home,2015-02-06T23:11:24-05:00,2015-02-07T00:00:00-05:00,2916
2/7/15,place,Home,2015-02-07T00:00:00-05:00,2015-02-07T08:39:18-05:00,31158
2/7/15,move,cycling,2015-02-07T08:39:18-05:00,2015-02-07T08:49:40-05:00,622
2/7/15,place,Place in University of Florida,2015-02-07T08:49:40-05:00,2015-02-07T08:59:16-05:00,576
2/7/15,move,walking,2015-02-07T08:59:16-05:00,2015-02-07T09:02:56-05:00,220
2/7/15,place,Place in University of Florida,2015-02-07T09:02:56-05:00,2015-02-07T12:08:18-05:00,11122
2/7/15,move,walking,2015-02-07T12:08:18-05:00,2015-02-07T12:20:38-05:00,740
2/7/15,place,Place in University of Florida,2015-02-07T12:20:38-05:00,2015-02-07T13:03:45-05:00,2587
2/7/15,place,Place in University of Florida,2015-02-07T13:03:45-05:00,2015-02-07T13:04:23-05:00,38
2/7/15,place,Place in University of Florida,2015-02-07T13:04:23-05:00,2015-02-07T13:26:56-05:00,1353
2/7/15,move,walking,2015-02-07T13:26:56-05:00,2015-02-07T13:31:16-05:00,260
2/7/15,place,Place in University of Florida,2015-02-07T13:31:16-05:00,2015-02-07T14:27:06-05:00,3350
2/7/15,move,walking,2015-02-07T14:27:06-05:00,2015-02-07T14:31:45-05:00,279
2/7/15,place,Place in University of Florida,2015-02-07T14:31:45-05:00,2015-02-07T14:34:02-05:00,137
2/7/15,move,cycling,2015-02-07T14:34:02-05:00,2015-02-07T14:50:11-05:00,969
2/7/15,place,Place in Gainesville,2015-02-07T14:50:12-05:00,2015-02-07T14:54:58-05:00,286
2/7/15,move,cycling,2015-02-07T14:54:58-05:00,2015-02-07T14:58:07-05:00,189
2/7/15,place,Home,2015-02-07T14:58:07-05:00,2015-02-07T15:20:06-05:00,1319
2/7/15,move,walking,2015-02-07T15:20:06-05:00,2015-02-07T15:29:48-05:00,582
2/7/15,place,Place in Gainesville,2015-02-07T15:29:47-05:00,2015-02-07T18:54:44-05:00,12297
2/7/15,move,walking,2015-02-07T18:54:44-05:00,2015-02-07T19:03:56-05:00,552
2/7/15,place,Home,2015-02-07T19:03:55-05:00,2015-02-08T00:00:00-05:00,17765
2/8/15,place,Home,2015-02-08T00:00:00-05:00,2015-02-08T10:24:06-05:00,37446
2/8/15,move,walking,2015-02-08T10:24:06-05:00,2015-02-08T10:37:51-05:00,825
2/8/15,place,Place in Gainesville,2015-02-08T10:37:51-05:00,2015-02-08T13:09:56-05:00,9125
2/8/15,move,walking,2015-02-08T13:09:56-05:00,2015-02-08T13:32:07-05:00,1331
2/8/15,place,Home,2015-02-08T13:32:06-05:00,2015-02-08T17:33:21-05:00,14475
2/8/15,move,walking,2015-02-08T17:33:21-05:00,2015-02-08T17:42:13-05:00,532
2/8/15,place,Home,2015-02-08T17:42:13-05:00,2015-02-08T17:56:05-05:00,832
2/8/15,place,Place in Gainesville,2015-02-08T17:56:05-05:00,2015-02-08T18:06:29-05:00,624
2/8/15,move,walking,2015-02-08T18:06:29-05:00,2015-02-08T18:21:55-05:00,926
2/8/15,place,Home,2015-02-08T18:21:54-05:00,2015-02-08T19:00:45-05:00,2331
2/8/15,move,transport,2015-02-08T19:00:45-05:00,2015-02-08T19:02:00-05:00,75
2/8/15,place,Place in Gainesville,2015-02-08T19:02:00-05:00,2015-02-08T21:29:52-05:00,8872
2/8/15,move,walking,2015-02-08T21:29:52-05:00,2015-02-08T21:38:54-05:00,542
2/8/15,place,Home,2015-02-08T21:38:53-05:00,2015-02-09T00:00:00-05:00,8467
2/9/15,place,Home,2015-02-09T00:00:00-05:00,2015-02-09T05:57:04-05:00,21424
2/9/15,move,running,2015-02-09T05:57:04-05:00,2015-02-09T06:02:38-05:00,334
2/9/15,place,Home,2015-02-09T06:02:38-05:00,2015-02-09T18:42:27-05:00,45589
2/9/15,move,cycling,2015-02-09T18:42:27-05:00,2015-02-09T18:49:36-05:00,429
2/9/15,place,Place in Gainesville,2015-02-09T18:49:37-05:00,2015-02-09T19:01:54-05:00,737
2/9/15,move,cycling,2015-02-09T19:01:54-05:00,2015-02-09T19:07:27-05:00,333
2/9/15,move,walking,2015-02-09T19:07:27-05:00,2015-02-09T19:11:29-05:00,242
