Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/16/15,walking,walking,2015-02-16T04:58:58-05:00,2015-02-16T04:59:28-05:00,30,0.012,41,0
2/16/15,walking,walking,2015-02-16T05:10:03-05:00,2015-02-16T05:10:33-05:00,30,0.009,20,0
2/16/15,walking,walking,2015-02-16T08:33:31-05:00,2015-02-16T08:36:02-05:00,151,0.070,92,0
2/16/15,walking,walking,2015-02-16T09:55:39-05:00,2015-02-16T09:56:09-05:00,30,0.009,25,0
2/16/15,walking,walking,2015-02-16T13:31:07-05:00,2015-02-16T13:31:37-05:00,30,0.009,27,0
2/16/15,walking,walking,2015-02-16T14:34:18-05:00,2015-02-16T14:35:18-05:00,60,0.029,91,0
2/16/15,walking,walking,2015-02-16T15:40:03-05:00,2015-02-16T15:41:03-05:00,60,0.031,101,0
2/16/15,cycling,cycling,2015-02-16T15:42:34-05:00,2015-02-16T15:55:58-05:00,804,2.488,0,0
2/16/15,walking,walking,2015-02-16T15:56:42-05:00,2015-02-16T15:57:26-05:00,44,0.027,87,0
2/16/15,walking,walking,2015-02-16T16:00:00-05:00,2015-02-16T16:02:05-05:00,125,0.099,211,0
2/16/15,walking,walking,2015-02-16T17:43:40-05:00,2015-02-16T17:45:36-05:00,116,0.051,164,0
2/16/15,walking,walking,2015-02-16T18:31:11-05:00,2015-02-16T18:39:41-05:00,510,0.352,756,0
2/16/15,cycling,cycling,2015-02-16T18:40:09-05:00,2015-02-16T18:54:02-05:00,833,2.935,0,0
2/16/15,walking,walking,2015-02-16T18:56:12-05:00,2015-02-16T18:57:12-05:00,60,0.032,101,0
2/16/15,walking,walking,2015-02-16T19:15:12-05:00,2015-02-16T19:17:12-05:00,120,0.041,132,0
2/16/15,walking,walking,2015-02-16T20:08:20-05:00,2015-02-16T20:09:20-05:00,60,0.021,65,0
2/16/15,transport,transport,2015-02-16T21:08:00-05:00,2015-02-16T21:17:18-05:00,558,0.593,0,0
2/16/15,walking,walking,2015-02-16T21:18:59-05:00,2015-02-16T21:19:59-05:00,60,0.037,121,0
2/17/15,walking,walking,2015-02-17T00:18:37-05:00,2015-02-17T00:19:07-05:00,30,0.012,41,0
2/17/15,walking,walking,2015-02-17T05:54:59-05:00,2015-02-17T05:55:29-05:00,30,0.009,30,0
2/17/15,walking,walking,2015-02-17T07:32:45-05:00,2015-02-17T07:34:15-05:00,90,0.035,111,0
2/17/15,walking,walking,2015-02-17T09:01:17-05:00,2015-02-17T09:16:59-05:00,942,0.739,1585,0
2/17/15,cycling,cycling,2015-02-17T09:10:17-05:00,2015-02-17T09:24:02-05:00,825,2.448,0,0
2/17/15,walking,walking,2015-02-17T09:24:21-05:00,2015-02-17T09:26:21-05:00,120,0.072,232,0
2/17/15,walking,walking,2015-02-17T11:37:54-05:00,2015-02-17T11:39:24-05:00,90,0.041,132,0
2/17/15,cycling,cycling,2015-02-17T11:46:46-05:00,2015-02-17T12:07:17-05:00,1231,2.665,0,0
2/17/15,walking,walking,2015-02-17T12:08:22-05:00,2015-02-17T12:10:22-05:00,120,0.047,152,0
2/17/15,walking,walking,2015-02-17T15:23:00-05:00,2015-02-17T15:23:30-05:00,30,0.009,20,0
2/17/15,walking,walking,2015-02-17T16:16:52-05:00,2015-02-17T16:18:29-05:00,97,0.036,116,0
2/17/15,walking,walking,2015-02-17T17:42:30-05:00,2015-02-17T17:43:00-05:00,30,0.009,30,0
2/17/15,walking,walking,2015-02-17T18:01:53-05:00,2015-02-17T18:03:53-05:00,120,0.045,147,0
2/17/15,walking,walking,2015-02-17T19:05:09-05:00,2015-02-17T19:14:02-05:00,533,0.315,676,0
2/17/15,walking,walking,2015-02-17T20:48:38-05:00,2015-02-17T20:49:38-05:00,60,0.032,102,0
2/17/15,walking,walking,2015-02-17T21:39:25-05:00,2015-02-17T21:39:55-05:00,30,0.009,31,0
2/17/15,walking,walking,2015-02-17T22:00:48-05:00,2015-02-17T22:01:18-05:00,30,0.012,41,0
2/18/15,walking,walking,2015-02-18T07:31:00-05:00,2015-02-18T07:33:09-05:00,129,0.080,170,0
2/18/15,walking,walking,2015-02-18T12:46:36-05:00,2015-02-18T12:47:06-05:00,30,0.009,30,0
2/18/15,walking,walking,2015-02-18T18:25:18-05:00,2015-02-18T18:25:48-05:00,30,0.009,25,0
2/18/15,walking,walking,2015-02-18T18:30:57-05:00,2015-02-18T18:43:09-05:00,732,0.460,1165,0
2/18/15,walking,walking,2015-02-18T18:45:02-05:00,2015-02-18T18:46:32-05:00,90,0.032,101,0
2/18/15,walking,walking,2015-02-18T18:56:57-05:00,2015-02-18T19:03:02-05:00,365,0.213,493,0
2/18/15,walking,walking,2015-02-18T19:03:02-05:00,2015-02-18T19:05:05-05:00,123,0.097,208,0
2/18/15,walking,walking,2015-02-18T20:45:30-05:00,2015-02-18T21:10:50-05:00,1520,0.853,1929,0
2/18/15,walking,walking,2015-02-18T21:33:43-05:00,2015-02-18T21:34:13-05:00,30,0.019,61,0
2/18/15,transport,transport,2015-02-18T21:36:23-05:00,2015-02-18T21:39:34-05:00,191,0.562,0,0
2/18/15,walking,walking,2015-02-18T21:40:13-05:00,2015-02-18T21:41:17-05:00,64,0.037,119,0
2/19/15,walking,walking,2015-02-19T09:01:06-05:00,2015-02-19T09:04:03-05:00,177,0.125,268,0
2/19/15,transport,transport,2015-02-19T09:22:40-05:00,2015-02-19T11:03:19-05:00,6039,87.345,0,0
2/19/15,walking,walking,2015-02-19T11:11:05-05:00,2015-02-19T11:11:35-05:00,30,0.016,51,0
2/19/15,walking,walking,2015-02-19T12:06:00-05:00,2015-02-19T12:11:21-05:00,321,0.150,286,0
2/19/15,transport,transport,2015-02-19T12:51:32-05:00,2015-02-19T13:04:25-05:00,773,3.758,0,0
2/19/15,walking,walking,2015-02-19T13:05:30-05:00,2015-02-19T13:07:00-05:00,90,0.041,132,0
2/19/15,transport,transport,2015-02-19T13:44:12-05:00,2015-02-19T15:26:09-05:00,6117,74.607,0,0
2/19/15,walking,walking,2015-02-19T15:26:09-05:00,2015-02-19T15:27:33-05:00,84,0.035,114,0
2/19/15,walking,walking,2015-02-19T17:26:10-05:00,2015-02-19T17:30:43-05:00,273,0.145,311,0
2/19/15,cycling,cycling,2015-02-19T17:47:13-05:00,2015-02-19T17:55:52-05:00,519,1.988,0,0
2/19/15,walking,walking,2015-02-19T17:56:35-05:00,2015-02-19T17:59:04-05:00,149,0.089,191,0
2/19/15,walking,walking,2015-02-19T20:06:22-05:00,2015-02-19T20:11:26-05:00,304,0.188,405,0
2/19/15,cycling,cycling,2015-02-19T20:12:16-05:00,2015-02-19T20:24:12-05:00,716,2.605,0,0
2/19/15,walking,walking,2015-02-19T20:26:01-05:00,2015-02-19T20:27:01-05:00,60,0.025,81,0
2/19/15,walking,walking,2015-02-19T21:32:10-05:00,2015-02-19T21:34:25-05:00,135,0.127,272,0
2/19/15,transport,transport,2015-02-19T21:32:24-05:00,2015-02-19T21:33:37-05:00,73,0.323,0,0
2/19/15,walking,walking,2015-02-19T21:42:09-05:00,2015-02-19T21:43:09-05:00,60,0.022,71,0
2/19/15,walking,walking,2015-02-19T22:22:46-05:00,2015-02-19T22:23:16-05:00,30,0.016,51,0
2/20/15,walking,walking,2015-02-20T07:34:08-05:00,2015-02-20T07:37:14-05:00,186,0.087,156,0
2/20/15,walking,walking,2015-02-20T08:31:28-05:00,2015-02-20T08:31:50-05:00,22,0.012,37,0
