Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/11/15,walking,walking,2015-02-11T23:12:33-05:00,2015-02-11T23:12:40-05:00,7,0.003,9,0
2/12/15,walking,walking,2015-02-12T05:27:52-05:00,2015-02-12T05:28:14-05:00,22,0.010,33,0
2/12/15,walking,walking,2015-02-12T06:01:21-05:00,2015-02-12T06:01:37-05:00,16,0.005,14,0
2/12/15,walking,walking,2015-02-12T07:20:48-05:00,2015-02-12T07:21:51-05:00,63,0.022,73,0
2/12/15,walking,walking,2015-02-12T08:04:26-05:00,2015-02-12T08:04:44-05:00,18,0.007,22,0
2/12/15,walking,walking,2015-02-12T15:07:53-05:00,2015-02-12T15:11:21-05:00,208,0.122,261,0
2/12/15,walking,walking,2015-02-12T16:03:34-05:00,2015-02-12T16:04:34-05:00,60,0.019,51,0
2/12/15,cycling,cycling,2015-02-12T16:44:41-05:00,2015-02-12T16:54:54-05:00,613,2.522,0,0
2/12/15,walking,walking,2015-02-12T16:54:54-05:00,2015-02-12T16:57:43-05:00,169,0.053,113,0
2/12/15,walking,walking,2015-02-12T17:57:57-05:00,2015-02-12T17:58:27-05:00,30,0.012,40,0
2/12/15,transport,transport,2015-02-12T18:00:22-05:00,2015-02-12T18:02:31-05:00,129,0.603,0,0
2/12/15,walking,walking,2015-02-12T18:02:52-05:00,2015-02-12T18:03:06-05:00,14,0.006,19,0
2/12/15,walking,walking,2015-02-12T19:30:12-05:00,2015-02-12T19:30:34-05:00,22,0.009,27,0
2/12/15,walking,walking,2015-02-12T20:12:45-05:00,2015-02-12T20:13:38-05:00,53,0.021,68,0
2/12/15,cycling,cycling,2015-02-12T20:18:28-05:00,2015-02-12T20:29:21-05:00,653,2.156,0,0
2/12/15,walking,walking,2015-02-12T20:30:33-05:00,2015-02-12T20:31:03-05:00,30,0.016,50,0
2/12/15,walking,walking,2015-02-12T21:09:55-05:00,2015-02-12T21:10:09-05:00,14,0.004,14,0
2/12/15,walking,walking,2015-02-12T22:00:00-05:00,2015-02-12T22:00:06-05:00,6,0.002,7,0
2/13/15,walking,walking,2015-02-13T05:33:01-05:00,2015-02-13T05:33:35-05:00,34,0.011,25,0
2/13/15,walking,walking,2015-02-13T07:10:29-05:00,2015-02-13T07:13:56-05:00,207,0.121,259,0
2/13/15,cycling,cycling,2015-02-13T07:27:35-05:00,2015-02-13T07:43:28-05:00,953,2.492,0,0
2/13/15,walking,walking,2015-02-13T07:45:42-05:00,2015-02-13T07:46:26-05:00,44,0.017,55,0
2/13/15,walking,walking,2015-02-13T08:02:32-05:00,2015-02-13T08:04:50-05:00,138,0.093,199,0
2/13/15,walking,walking,2015-02-13T09:04:21-05:00,2015-02-13T09:09:11-05:00,290,0.215,462,0
2/13/15,cycling,cycling,2015-02-13T09:24:43-05:00,2015-02-13T09:27:25-05:00,162,0.601,0,0
2/13/15,walking,walking,2015-02-13T09:27:46-05:00,2015-02-13T09:30:15-05:00,149,0.085,183,0
2/13/15,walking,walking,2015-02-13T10:28:49-05:00,2015-02-13T10:29:19-05:00,30,0.009,25,0
2/13/15,walking,walking,2015-02-13T12:37:30-05:00,2015-02-13T12:38:51-05:00,81,0.039,126,0
2/13/15,cycling,cycling,2015-02-13T12:42:28-05:00,2015-02-13T12:56:54-05:00,866,2.326,0,0
2/13/15,walking,walking,2015-02-13T12:57:58-05:00,2015-02-13T12:59:03-05:00,65,0.034,110,0
2/13/15,walking,walking,2015-02-13T13:55:18-05:00,2015-02-13T13:56:25-05:00,67,0.024,78,0
2/13/15,walking,walking,2015-02-13T14:01:55-05:00,2015-02-13T14:11:18-05:00,563,0.302,648,0
2/13/15,walking,walking,2015-02-13T16:11:50-05:00,2015-02-13T16:12:50-05:00,60,0.035,111,0
2/13/15,walking,walking,2015-02-13T17:27:53-05:00,2015-02-13T17:29:53-05:00,120,0.037,107,0
2/13/15,walking,walking,2015-02-13T18:27:39-05:00,2015-02-13T18:30:18-05:00,159,0.097,208,0
2/13/15,walking,walking,2015-02-13T20:45:53-05:00,2015-02-13T20:48:23-05:00,150,0.092,197,0
2/13/15,walking,walking,2015-02-13T21:05:28-05:00,2015-02-13T21:06:58-05:00,90,0.047,152,0
2/14/15,walking,walking,2015-02-14T07:25:49-05:00,2015-02-14T07:28:53-05:00,184,0.086,166,0
2/14/15,cycling,cycling,2015-02-14T07:34:30-05:00,2015-02-14T07:37:14-05:00,164,0.587,0,0
2/14/15,walking,walking,2015-02-14T07:37:58-05:00,2015-02-14T07:42:45-05:00,287,0.167,359,0
2/14/15,cycling,cycling,2015-02-14T07:54:23-05:00,2015-02-14T07:57:32-05:00,189,0.587,0,0
2/14/15,walking,walking,2015-02-14T07:58:04-05:00,2015-02-14T07:58:59-05:00,55,0.017,46,0
2/14/15,walking,walking,2015-02-14T08:00:38-05:00,2015-02-14T08:02:08-05:00,90,0.029,91,0
2/14/15,walking,walking,2015-02-14T10:31:58-05:00,2015-02-14T10:51:48-05:00,1190,0.914,1961,0
2/14/15,walking,walking,2015-02-14T11:41:02-05:00,2015-02-14T11:42:10-05:00,68,0.021,53,0
2/14/15,walking,walking,2015-02-14T12:00:51-05:00,2015-02-14T12:01:53-05:00,62,0.026,84,0
2/14/15,walking,walking,2015-02-14T14:52:53-05:00,2015-02-14T14:53:23-05:00,30,0.009,30,0
2/14/15,walking,walking,2015-02-14T16:13:41-05:00,2015-02-14T16:27:19-05:00,818,0.532,1197,0
2/14/15,walking,walking,2015-02-14T16:47:51-05:00,2015-02-14T16:48:21-05:00,30,0.019,61,0
2/14/15,walking,walking,2015-02-14T16:50:57-05:00,2015-02-14T17:01:47-05:00,650,0.357,938,0
2/14/15,walking,walking,2015-02-14T17:25:56-05:00,2015-02-14T17:33:55-05:00,479,0.223,422,0
2/14/15,walking,walking,2015-02-14T17:38:32-05:00,2015-02-14T17:44:05-05:00,333,0.170,449,0
2/14/15,walking,walking,2015-02-14T17:49:58-05:00,2015-02-14T17:50:28-05:00,30,0.012,41,0
2/14/15,walking,walking,2015-02-14T18:02:44-05:00,2015-02-14T18:03:21-05:00,37,0.012,37,0
2/14/15,walking,walking,2015-02-14T18:02:45-05:00,2015-02-14T18:08:30-05:00,345,0.308,636,0
2/14/15,walking,walking,2015-02-14T18:13:20-05:00,2015-02-14T18:16:20-05:00,180,0.099,212,0
2/14/15,walking,walking,2015-02-14T19:03:03-05:00,2015-02-14T19:04:03-05:00,60,0.021,66,0
2/14/15,walking,walking,2015-02-14T22:37:58-05:00,2015-02-14T22:38:28-05:00,30,0.012,41,0
2/14/15,walking,walking,2015-02-14T23:00:10-05:00,2015-02-14T23:01:40-05:00,90,0.041,132,0
2/15/15,walking,walking,2015-02-15T07:49:18-05:00,2015-02-15T07:50:17-05:00,59,0.031,100,0
2/15/15,walking,walking,2015-02-15T09:44:19-05:00,2015-02-15T09:44:49-05:00,30,0.012,40,0
2/15/15,walking,walking,2015-02-15T10:22:36-05:00,2015-02-15T10:26:24-05:00,228,0.153,328,0
2/15/15,walking,walking,2015-02-15T11:56:06-05:00,2015-02-15T11:57:06-05:00,60,0.022,71,0
2/15/15,walking,walking,2015-02-15T13:21:09-05:00,2015-02-15T13:23:01-05:00,112,0.041,132,0
2/15/15,walking,walking,2015-02-15T16:32:07-05:00,2015-02-15T16:33:37-05:00,90,0.039,127,0
2/15/15,walking,walking,2015-02-15T17:00:23-05:00,2015-02-15T17:03:23-05:00,180,0.109,233,0
2/15/15,walking,walking,2015-02-15T18:04:12-05:00,2015-02-15T18:08:11-05:00,239,0.140,301,0
2/15/15,transport,transport,2015-02-15T18:20:06-05:00,2015-02-15T18:29:48-05:00,582,0.978,0,0
2/15/15,walking,walking,2015-02-15T18:29:51-05:00,2015-02-15T18:31:21-05:00,90,0.053,173,0
2/15/15,walking,walking,2015-02-15T19:02:32-05:00,2015-02-15T19:03:02-05:00,30,0.012,41,0
2/15/15,walking,walking,2015-02-15T20:00:19-05:00,2015-02-15T20:01:49-05:00,90,0.047,152,0
2/15/15,cycling,cycling,2015-02-15T20:22:29-05:00,2015-02-15T20:25:12-05:00,163,0.408,0,0
2/15/15,walking,walking,2015-02-15T20:26:31-05:00,2015-02-15T20:27:01-05:00,30,0.019,61,0
2/15/15,transport,transport,2015-02-15T20:41:21-05:00,2015-02-15T20:48:50-05:00,449,0.636,0,0
2/15/15,walking,walking,2015-02-15T22:07:50-05:00,2015-02-15T22:08:50-05:00,60,0.022,71,0
