Date,Type,Name,Start,End,Duration
1/27/15,place,Place in Gainesville,2015-01-27T00:00:00-05:00,2015-01-27T06:22:33-05:00,22953
1/27/15,move,running,2015-01-27T06:22:33-05:00,2015-01-27T06:26:53-05:00,260
1/27/15,place,Place in Gainesville,2015-01-27T06:26:54-05:00,2015-01-27T08:09:39-05:00,6165
1/27/15,move,cycling,2015-01-27T08:09:39-05:00,2015-01-27T08:21:01-05:00,682
1/27/15,place,Place in Gainesville,2015-01-27T08:21:01-05:00,2015-01-27T09:11:47-05:00,3046
1/27/15,move,cycling,2015-01-27T09:11:47-05:00,2015-01-27T09:29:29-05:00,1062
1/27/15,place,Place in University of Florida,2015-01-27T09:29:29-05:00,2015-01-27T11:42:20-05:00,7971
1/27/15,move,cycling,2015-01-27T11:42:20-05:00,2015-01-27T11:52:33-05:00,613
1/27/15,place,Place in Gainesville,2015-01-27T11:52:33-05:00,2015-01-27T11:56:28-05:00,235
1/27/15,move,cycling,2015-01-27T11:56:28-05:00,2015-01-27T12:12:14-05:00,946
1/27/15,place,Place in Gainesville,2015-01-27T12:12:14-05:00,2015-01-28T00:00:00-05:00,42466
